"gender","Age","Attitude","deep","surf","stra","Points"
"F",21,25,3.16666666666667,3.41666666666667,3.125,12
"M",28,33,3.83333333333333,2.83333333333333,3.5,17
"M",23,35,4.16666666666667,3.41666666666667,1.625,0
"F",21,33,4.25,2.25,2.625,18
"F",30,30,3.83333333333333,2.75,3.375,19
"F",21,29,3.66666666666667,3.91666666666667,2.25,21
"M",23,33,3.83333333333333,2.33333333333333,3,24
"F",21,33,3.83333333333333,2.75,4,28
"F",21,35,3.83333333333333,2.75,3.5,17
"F",20,36,3.66666666666667,2.91666666666667,2.625,18
"M",21,42,4.16666666666667,2.66666666666667,2.875,0
"M",22,37,4.33333333333333,2.08333333333333,2.5,17
"F",35,28,4.41666666666667,3.58333333333333,3.25,0
"M",21,42,3.75,3.66666666666667,3.75,23
"M",22,22,2.66666666666667,3.41666666666667,2,0
"M",21,32,4.16666666666667,2.83333333333333,3.625,26
"F",20,50,4,3.41666666666667,4.125,28
"M",22,47,4,1.58333333333333,4.375,31
"F",20,36,4.58333333333333,2.91666666666667,2.625,27
"F",20,36,3.66666666666667,3,4,25
"M",24,29,3.66666666666667,2.91666666666667,2.75,23
"F",20,35,3.83333333333333,2.66666666666667,2.75,21
"F",19,40,2.58333333333333,3,1.375,27
"F",21,35,3.5,2.75,2.25,28
"F",21,32,3.08333333333333,3.08333333333333,3.625,23
"F",22,26,4.25,2.5,3.75,21
"F",25,20,3.16666666666667,2.33333333333333,4,25
"F",21,27,3.08333333333333,3,3.125,11
"F",22,32,4.16666666666667,3,3.25,19
"F",25,33,2.25,4,2.125,24
"F",20,39,3.33333333333333,3.25,2.875,28
"M",24,33,3.08333333333333,3.5,1.5,21
"F",20,30,2.75,3.5,2.5,24
"M",21,37,3.25,3.83333333333333,3.25,24
"F",26,14,3.75,3.08333333333333,3.25,0
"M",28,30,4.75,2.5,2.5,0
"F",20,25,4,2.91666666666667,3.625,20
"F",20,29,3.58333333333333,2.16666666666667,3.875,19
"M",31,39,4.08333333333333,1.66666666666667,3.875,30
"F",20,36,4.25,2.08333333333333,2.375,22
"F",22,29,3.41666666666667,2.83333333333333,3,16
"F",22,21,3.08333333333333,3.41666666666667,3.375,16
"M",21,31,3.5,3.33333333333333,2.75,19
"F",20,24,3.91666666666667,3.5,3.125,0
"M",22,40,3.66666666666667,2.58333333333333,4.5,30
"F",21,31,4.25,2.83333333333333,2.625,23
"F",21,23,4.25,3.33333333333333,2.75,19
"F",21,28,3.83333333333333,3,3.25,18
"F",21,37,4.41666666666667,2.58333333333333,4.125,28
"F",20,26,3.5,2.41666666666667,3.375,21
"F",21,24,3.58333333333333,3.58333333333333,2.75,19
"F",25,30,3.66666666666667,2.08333333333333,4.125,27
"F",27,29,4.25,2.75,3,0
"F",20,32,3.75,3.91666666666667,4.125,0
"M",21,28,2.08333333333333,4.33333333333333,3.25,24
"F",24,29,4.25,2.66666666666667,2.875,21
"F",20,24,3.58333333333333,3,2.875,20
"M",21,31,4,2.66666666666667,2.375,28
"F",20,19,3.33333333333333,2.16666666666667,3.875,12
"F",20,20,3.5,2.66666666666667,2.125,21
"F",18,38,3.16666666666667,2.25,4,28
"F",21,34,3.58333333333333,2.66666666666667,3.25,31
"F",19,37,3.41666666666667,3.33333333333333,2.625,18
"F",21,29,4.25,3.5,2.75,25
"F",20,23,3.25,2.75,4,19
"M",21,41,4.41666666666667,2,3,21
"F",20,27,3.25,2.83333333333333,3.375,16
"F",21,35,3.91666666666667,3.5,3.875,7
"F",20,34,3.58333333333333,2.5,3.25,21
"F",18,32,4.5,3.16666666666667,3.375,17
"M",22,33,3.58333333333333,3.08333333333333,4.125,22
"F",22,33,3.66666666666667,2.91666666666667,3.5,18
"M",24,35,2.58333333333333,3.16666666666667,2,25
"F",19,32,4.16666666666667,2.5,3.625,24
"F",20,31,3.25,3.83333333333333,3.375,23
"F",21,24,3.58333333333333,2.83333333333333,2.25,0
"F",20,28,4.33333333333333,2.25,2.125,23
"F",17,17,3.91666666666667,3.41666666666667,4.625,26
"M",19,19,2.66666666666667,3.75,2.5,12
"F",23,32,3.58333333333333,1.75,2,0
"F",20,35,3.08333333333333,3,2.875,32
"F",20,24,3.75,2.58333333333333,2.75,22
"F",25,38,4.08333333333333,2.75,3.375,0
"F",20,21,4.16666666666667,3.33333333333333,4,20
"F",20,29,4.16666666666667,2.83333333333333,2.375,21
"F",19,19,3.25,3,3.875,23
"F",19,20,4.08333333333333,2.83333333333333,3.375,20
"F",22,42,2.91666666666667,3.16666666666667,1.75,28
"M",35,41,3.83333333333333,2.75,3,31
"F",18,37,3.16666666666667,3.41666666666667,2.625,18
"F",19,36,3.41666666666667,3,2.625,30
"M",21,18,4.08333333333333,2.66666666666667,3.375,19
